# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\mario1.png	255	255	255
40	textures\enemies-2.png	0	128	128
50	textures\enemies-3.png	176	244	248
60	textures\BROWNCOIN.png	176	244	248
65	textures\endgame.png	176	224	248
66	textures\Font.png	176	224	248

# id	left	top	right	bottom	texture_id
[SPRITES]
#KOOPAS BROWN
#walk left
50050	205	163	222	191	40
50051	222	163	239	191	40
#walk right
50052	152	219	170	246	40
50053	134	219	226	246	40
#attack
50054	256	174	273	191	40
50055	273	174	290	191	40
50056	290	174	308	191	40
#defend
50057	239	174	256	191	40
#die
50058	28	250	46	267	40
#dieattack
50059	46	250	62	267	40
50060	62	250	79	267	40
50061	79	250	97	267	40

#FLYKOOPAS
50080	205	248	222	277	40
50081	256	249	273	277	40
50082	239	248	255	277	40
50083	222	249	239	277	40

#ITEM
#item1
60001	300	189	317	206	20
#Browncoin
60002	334	100	349	117	60
60003	294	100	304	117	60
60004	357	100	365	117	60
60005	372	100	384	117	60
#LEAF
Right Leaf
60006	250	105	267	120	20
Left Leaf
60007	250	125	267	140	20
#POINTS
#100 POINTS
60008	283	246	297	257	20
#ENDGAME ITEM
#1.STAR
60009	455	118	471	136	20
#2.REDMUSHROOM: 60001
#3.PLANT
60010	413	352	428	367	65
#4. STAR UP
60011	412	375	429	392	65
60012	439	398	456	415	65
60013	441	375	454	393	65
#5 MUSHROOM UP
60014	468	376	485	393	65
60015	468	398	485	414	65
60013	441	375	454	393	65
#6 PLANT UP
60016	499	373	516	391	65
60017	499	397	516	415	65
60013	441	375	454	393	65


#-----HUD-------#
60020	93	423	416	462	65
#PITEM----#
60021	156	144	172	160	60
60022	199	153	216	160	60
#====BOOMERANG===#
#ON HAND
60023	144	527	159	542	50
#FLY
60024	128	527	143	541	50
60025	177	527	191	542	50
60026	160	528	176	542	50


#PIPE
#small
60050	97	86	130	120	10
#medium
60051	328	241	362	290	10
#big
60052	387	162	421	353	10

#FIREPIRAHAPLANT
# open mouth up left
70001	160	144	176	177	50
# close mouth up left
70002	178	144	192	177	50
# open mouth down left
70003	128	144	145	177	50
#close mouth down left
70004	145	144	161	177	50
#open mouth up right
70005	301	75	316	109	50
#close mouth up right
70006	317	75	333	109	50
#open mouth down right
70007	336	75	351	108	50
#close mouth down right
70008	299	37	314	70	50


#GREEN PLANT
70050	70	206	86	232	50
70051	86	207	103	232	50

#FIREGREENPLANT
#open mouth up left
70070	298	293	314	318	50
#close mouth up left
70071	314	293	330	318	50
#open mouth down left
70072	266	293	282	318	50
#close mouth down left
70073	282	293	298	318	50
#open mouth up RIGHT
70074	469	246	486	271	50
#close mouth up RIGHT
70075	454	246	469	271	50
#open mouth down RIGHT
70076	501	246	517	271	50
#close mouth down RIGHT
70077	484	246	501	271	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
27	27	100
28	28	100
29	29	100
30	30	100
31	31	100
32	32	100
33	33	100
34	34	100
35	35	100
36	36	100
#stack speed
37	37	100
#mario start scene(muxi ten)
38	38	100

# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#jump right small
504	10024	500
#jump left small
505	10034	500
#jump right big
506	10004	500
#jump left big
507	10014	500
# walk right turn left big
514	10005	500
# walk left turn right big
515	10015	500
# small walk right turn left 
516	10025	500
# small walk left turn right 
517	10035	500
# MARIO TAIL idle right
508	10041	100
# MARIO TAIL idle left
509	10051	100
# MARIO TAIL walk right
510	10041	100	10042	100	10043	100
# MARIO TAIL walk left
511	10051	100	10052	100	10053	100
# MARIO TAIL jump right
512	10044	400
# MARIO TAIL jump left
513	10054	400 
#MARIO BIG SIT RIGHT
518	10006	400
#MARIO BIG SIT LEFT
519	10016	400
#MARIOTAIL SIT RIGHT
520	10048	400
#MARIOTAIL SIT LEFT
521	10058	400
#MARIOTAIL walk right turn left
522	10049	500
#MARIOTAIL walk left turn right
523	10059	500
#MARIOTAIL FLY RIGHT
524	10142	200
#MARIOTAIL FLY LEFT
525	10152	200
#MARIOTAIL ATTACK RIGHT
526	10143	75	10144	75	10145	75	10146	75	10147	75
#MARIOTAIL ATTACK LEFT
527	10157	75	10154	75	10155	75	10156	75	10157	75
#MARIOBIG RUN MAXSPEED RIGHT
528	10007	50	10008	50	10009	50
#MARIOBIG RUN MAXSPEED LEFT
529	10017	50	10018	50	10019	50
#RUN right big
530	10001	50	10002	50	10003	50
#RUN left big
531	10011	50	10012	50	10013	50
#MARIOTAIL RUN MAXSPEED RIGHT
532	10148	50	10149	50	10150	50
#MARIOTAIL RUN MAXSPEED LEFT
533	10158	50	10159	50	10160	50

#MARIOWHITE idle right
534	10201	100
#MARIOWHITE idle left
535	10301	100
#MARIOWHITE walk right
536	10201	100	10202	100	10203	100
#MARIOWHITE walk left
537	10301	100	10302	100	10303	100
#MARIOWHITE jump right
538	10204	400
#MARIOWHITE jump left
539	10304	400
#MARIOWHITE RUN right
540	10201	50	10202	50	10203	50
#MARIOWHITE RUN left
541	10301	50	10302	50	10303	50
#MARIOWHITE walkleft turn right
542	10305	500
#MARIOWHITE walkright turnleft
543	10205	500
#MARIOWHITE RUN	MAXSPEED RIGHT
544	10207	50	10208	50	10209	50
#MARIOWHITE RUN	MAXSPEED LEFT
545	10307	50	10308	50	10309	50
#MARIOWHITE SIT RIGHT
546	10206	400
#MARIOWHITE SIT LEFT
547	10306	400
#MARIOWHITE shoot fireeeeeeeeeeeeeeeeeee right
548	10210	75	10211	75	10212	75
#MARIOWHITE shoot fireeeeeeeeeeeeeeeeeee left
549	10310	60	10311	60	10312	60

#MARIOTAIL FALL RIGHT
550	10141	400
#MARIOTAIL FALL RIGHT
551	10151	400
#MARIO BIG FLY RIGHT
552	10400	400
#MARIO BIG FLY LEFT
553	10401	400
#MARIO SMALL fly right
554	10026	400
#MARIO SMALL fly left
555	10036	400
#MARIOWHITE FLY RIGHT
556	10213	400
#MARIOWHITE FLY LEFT
557	10313	400
#MARIOTAIL RUN RIGHT
558	10041	50	10042	50	10043	50
#MARIOTAIL RUN LEFT
559	10051	50	10052	50	10053	50
#MARIOTAIL FALLSLOW RIGHT
560	10162	20	10163	30
#MARIOTAIL FALLSLOW LEFT
561	10165	50	10166	50
#MARIOTAIL DOWN FLY RIGHT
562	10167	200
#MARIOTAIL DOWN FLY LEFT
563	10168	200
#MARIO small run right
564	10021	50	10022	50	10023	50
#MARIO small run left
565	10031	50	10032	50	10033	50
#MARIOWHITE FALLING RIGHT
566	10203	400
#MARIOWHITE FALLING LEFT
567	10303	400
#MARIO big fall right
568	10003	400
#MARIO big fall left
569	10013	400
#MARIO BIG holdturtle right IDLE
570	10405	100
#MARIO BIG holdturtle left IDLE
571	10402	100
#MARIO BIG HOLD TURTLE WALK RIGHT
572	10405	100	10406	100	10407	100
#MARIO BIG HOLD TURTLE WALK RIGHT
573	10402	100	10403	100	10404	100
#MARIO BIG KICK TURTLE RIGHT
574	10408	200
#MARIO BIG KICK TURTLE LEFT
575	10409	200
#MARIO WHITE KICK TURTLE RIGHT
576	10214	200
#MARIO WHITE KICK TURTLE LEFT
577	10314	200
#MARIO TAIL GO IN PIPE
578	10169	100
##MARIO_START_SCENE
598	10097	100	10098	100
#MARIO_START_SCENE_BIGLEVEL
597	10095	100	10096	100
#MARIO_START_SCENE_TAIL_LEVEL
596	10093	100	10094	100
#die
599	10099	100


# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100
603	40005	100
#SHINNING BRICK
610	40020	1000	40021	100	40022	100	40023	100	40024	100

#=======UPDOWNWOOD==============
611	40025	100

# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100
#======REDGOOMBA=================
# jump
703	30010	50	30011	50	30012	50	30013	50
#MOVING with wings
704	30010	100	30011	100
#no wings moving
705	30014	100	30015	100
#die up
706	30016	100
#die
707	30017	100
#=======TURTLE=====#
#WALKING
710	30020	200	30021	200
#attacking
711	30022	200	30023	200	30020	200

#=======KOOPAS BROWN=============
#WALK LEFT
750	50050	100	50051	100
#walk right
751	50052	100	50053	100
#defend
752	50057	100
#attack
753	50054	100	50055	100	50056	100
#die
754	50058	100
#dieattack
755	50059	100	50060	100	50061	100
#=======FLYKOOPAS=========
780	50080	100	50081	100	50082	100	50083	100

# ==== KOOPAS GREEN  =========
#walk left
804	50005	100	50006	100
#walk right
802	50007	100	50008	100
#die
803	50013	100
#die attack
805	50014	100	50015	100	50016	100
#defend
806	50009	100
#attack
807	50010	100	50011	100	50012	100




#========FIRE=========
#SHOOT
801	50001	100	50002	100	50003	100	50004	100

#========Item=======
900	60001	100
#browncoin
901	60002	100	60003	100	60004	100	60005	100
#Leaf
#{
right
902	60006	100
left
903	60007	100
#}
#100points
904	60008	100
#ENDGAME ITEM
#star
905	60009	100
#redmushroom: 900
#plant
906	60010	100
ENDGAMEITEM UP
#STAR UP
907	60011	150	60012	150	60013	150
#MUSHROOM UP
908	60014	150	60015	150	60013	150
#PLANT UP
909	60016	150	60017	150	60013	150
#HUD
910	60020	100
#PITEM
911	60021	100
912	60022	100
#==BOOMERANG==#
#ON HAND
913	60023	100
#FLY
914	60024	100	60025	100	60026	100	60023	100


#FIREPIRAHAPLANT
#UPright
300	70005	100	70006	100	70005	100	70006	100
#upleft
301	70001	100	70002	100	70001	100	70002	100
#downright
302	70007	100	70008	100	70007	100	70008	100
#downleft
303	70003	100	70004	100	70003	100	70004	100
#upidle right
304	70005	100
#upidle left
305	70001	100
#downidle right
306	70007	100
#downidle left
307	70003	100


#FIREGREENPLANT
#UPright
370	70074	120	70075	120
#UPleft
371	70070	120	70071	120
#downright
372	70076	120	70077	120
#downleft
373	70072	120	70073	120
#upidle right
374	70074	100
#upidle left
375	70070	100
#downidle right
376	70076	100
#downidle left
377	70072	100

#GREENPLANT STRAIGHT
350	70050	200	70051	200
#PIPE
200	60050	100
201	60051	100
202	60052	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	504	505	506	507	508	509	510	511	512	513	514	515	516	517	518	519	520	521	522	523	524	525	526	527	528	529	530	531	532	533	534	535	536	537	538	539	540	541	542	543	544	545	546	547	548	549	550	551	552	553	554	555	556	557	558	559	560	561	562	563	564	565	566	567	568	569	570	571	572	573	574	575	576	577	598	599	38	596	597	578
# BRICK 
2	601
# GOOMBA
3	701	702
#FIRE
4	801
# QUESTION MARK BRICK 
22	602	603
#KOOPAS green
6	804	802	803	805	806	807
#Item
7	900
#browncoin
12	901	904
#leaf
15	902	903
#firepirahaplant
5	300	301	302	303	304	305	306	307
#GREEN PLANT
8	350
#KOOPAS BROWN
9	750	751	752	753	754	755
#Firegreenplant
10	370	371	372	373	374	375	376	377
#FLYKOOPAS
11	780
#SHINNING BRICK
13	610
#PIPE
14	200	201	202
#RED GOOMBA
16	703	704	705	706	707
# endgame item
17	905	900	906	907	908	909
# UPDOWNWOOD
18	611
#EXTRABRICK
19	610	603
#TURTLE
20	710	711
#BOOMERANG
21	913	914
# 100 points
52	904
#HUD
53	910
#NUMBER
54	27	28	29	30	31	32	33	34	35	36
#stackspeed
55	37
#CPBRICK
56	610	603
#PITEM
57	911	912
[OBJECTS]
# type	x	y	ani_set_id	width	height	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba,3 = FirePirahaPlant,4 = Color brick, 5 = PIPE, 6 = Koopas, 7 = questionbrick,8 = item,9=greenplant,10=koopas brown
## 11= Firegreenplant, 12=flykoopas,13=browncoin,14=SHINNING BRICK,15=leaf
##16=RED goomba,17=endgame item ,50=portal,54=node,55=CPBRICK
#18= UPDOWNWOOD,19=Extrabrick, 20=turtle,21=boomerang,22=flyupdownkoopas
# MARIO
0	150	330	1	16	32
#turtle
#20	2400	350	20	16	25
#flyupdown koopas
#22	2400	330	11	16	25
#2600
#updownwood
#18	2500	360	18	48	16
#18	2555	355	18	48	16
#EXTRABRICK
#19	2470	355	19	16	16	10	1
19	2490	355	19	16	16	1	2
#CPBRICK
55	2033	369	56	16	16
# GOOMBA
2	100	300	3	16	16
2	430	380	3	16	16
2	810	300	3	16	16
#REDGOOMBA
16	910	300	16	20	20
#
# KOOPAS GREEN
6	550	300	6	17	29
6	1985	340	6	17	29
#FLYKOOPAS
12	1400	300	11	25	32
# KOOPAS BROWN'
#10	150	390	9	17	29
# FIREPIRAHAPLANT
3	358	370	5	19	35
# FIREGREENPLANT
11	1863	370	10	18	26
#GREENPLANT
9	1799	388	8	16	24
#endgame item
17	2688	338	17	22	22
# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	417	2	624	16
1	624	401	2	464	32
1	1154	417	2	352	16
1	416	321	22	16	16
1	1152	416	2	351	16
1	1472	368	22	16	16
1	1504	336	2	32	16
1	1568	400	2	16	16
1	1584	384	2	16	32
1	1600	368	2	16	48
1	1536	416	2	80	16
1	1663	417	2	574	16
1	1665	368	2	16	48
1	1680	384	2	16	32
1	1696	401	2	16	16
1	2257	417	2	560	16
1	2256	305	2	32	16
1	2256	368	2	32	16
1	2323	384	2	32	32
1	2258	384	2	32	32
# ---- brick group 2 ----
#-----COLOR BRICK--------
4	241	369	2	48	48
4	272	336	2	48	81
4	401	368	2	79	48
4	464	337	2	64	79
4	512	384	2	96	32
4	512	305	2	64	110
4	1264	384	2	110	31
4	1296	353	2	112	62
4	1328	321	2	111	95
4	1312	144	2	64	32
4	2145	369	2	48	48
4	2176	272	2	48	144
#cloud giong colorbrick
4	1486	177	2	208	14
4	1407	192	2	66	14
#---------PIPE------------				IsPortal
5	350	368	14	32	47	1	0
5	1792	384	14	29	31	0	0
5	1856	368	14	31	48	1	0
5	2257	112	14	30	193	2	1
#5	2258	384	14	30	33	1	1
#5	2323	384	14	31	31	0
#--------QUESTIONBRICK----
# 0=COIN,1#COINS
7	176	353	22	16	16	0		
7	192	353	22	16	16	0
7	224	304	22	16	16	0
7	240	304	22	16	16	1
7	656	384	22	16	16	1
7	704	350	22	16	16	0
7	418	321	22	16	16	0
7	1473	369	22	16	16	1
#--------Item----------
#brown coin
13	1071	319	12	16	16
13	1104	287	12	16	16
13	1136	255	12	16	16
13	1168	223	12	16	16
13	1199	191	12	16	16
13	1328	79	12	16	16
13	1344	79	12	16	16
13	1360	79	12	16	16
13	1472	111	12	16	16
13	1488	111	12	16	16
13	1536	126	12	16	16
13	1552	126	12	16	16
13	1568	126	12	16	16
13	1584	126	12	16	16
13	1615	111	12	16	16
13	1633	111	12	16	16
13	1649	111	12	16	16
13	1665	114	12	16	16
13	1697	147	12	16	16
13	1729	111	12	16	16
13	1761	128	12	16	16
13	1809	96	12	16	16
13	1842	128	12	16	16
#SHinning BRICK
14	1985	369	13	16	16
14	2001	369	13	16	16
14	2017	369	13	16	16
#14	2033	369	13	16	16
14	1969	385	13	16	16
14	1985	385	13	16	16
14	2001	385	13	16	16
14	2017	385	13	16	16
14	2033	385	13	16	16
14	1953	401	13	16	16
14	1969	401	13	16	16
14	1985	401	13	16	16
14	2001	401	13	16	16
14	2017	401	13	16	16
14	2033	401	13	16	16
14	2049	401	13	16	16
14	2096	385	13	16	16
14	2096	401	13	16	16
14	2112	401	13	16	16
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id	nextX	nextY
50	2259	145	1	2288	148	2	130	35
50	2744	392	1	2779	415	3	75	12
[MAP]
col row

